iter	Passed	Remaining
408	5151	7443
409	5166	7434
410	5178	7421
411	5190	7407
412	5202	7394
413	5215	7381
414	5225	7365
415	5237	7352
416	5250	7340
417	5265	7331
418	5278	7318
419	5290	7305
420	5302	7292
421	5315	7279
422	5327	7267
423	5340	7255
424	5352	7242
425	5366	7230
426	5378	7217
427	5389	7202
428	5401	7189
429	5412	7174
430	5424	7161
431	5437	7149
432	5449	7136
433	5462	7123
434	5474	7110
435	5487	7098
436	5499	7085
437	5514	7075
438	5526	7062
439	5538	7048
440	5550	7035
441	5563	7023
442	5574	7009
443	5586	6995
444	5599	6983
445	5612	6971
446	5625	6959
447	5637	6946
448	5651	6935
449	5664	6922
450	5676	6909
451	5689	6898
452	5702	6885
453	5715	6873
454	5726	6859
455	5738	6846
456	5751	6834
457	5764	6821
458	5775	6807
459	5786	6792
460	5798	6779
461	5810	6766
462	5822	6753
463	5834	6739
464	5847	6727
465	5859	6715
466	5872	6702
467	5884	6688
468	5896	6676
469	5909	6664
470	5922	6651
471	5933	6637
472	5946	6625
473	5958	6612
474	5971	6600
475	5984	6588
476	5998	6576
477	6010	6563
478	6023	6552
479	6036	6539
480	6049	6527
481	6061	6513
482	6073	6501
483	6086	6489
484	6099	6476
485	6112	6464
486	6123	6450
487	6136	6438
488	6148	6425
489	6161	6412
490	6173	6400
491	6186	6387
492	6197	6373
493	6209	6360
494	6221	6346
495	6234	6334
496	6247	6322
497	6259	6309
498	6272	6297
499	6284	6284
500	6297	6272
501	6311	6261
502	6323	6248
503	6336	6235
504	6348	6222
505	6361	6210
506	6375	6199
507	6386	6185
508	6399	6172
509	6411	6160
510	6424	6148
511	6437	6135
512	6450	6123
513	6464	6111
514	6475	6098
515	6488	6086
516	6500	6072
517	6512	6059
518	6523	6045
519	6535	6033
520	6547	6019
521	6558	6005
522	6570	5992
523	6581	5978
524	6595	5967
525	6608	5955
526	6623	5944
527	6635	5931
528	6648	5919
529	6660	5906
530	6672	5893
531	6684	5880
532	6697	5868
533	6708	5854
534	6719	5840
535	6732	5827
536	6746	5817
537	6757	5803
538	6768	5789
539	6780	5775
540	6793	5763
541	6805	5750
542	6817	5738
543	6831	5726
544	6844	5713
545	6856	5701
546	6868	5688
547	6881	5676
548	6894	5663
549	6905	5650
550	6918	5637
551	6929	5624
552	6943	5612
553	6955	5599
554	6967	5586
555	6978	5573
556	6990	5559
557	7004	5548
558	7016	5535
559	7028	5522
560	7041	5510
561	7054	5497
562	7066	5484
563	7078	5472
564	7090	5459
565	7103	5446
566	7116	5434
567	7128	5421
568	7141	5409
569	7154	5397
570	7171	5388
571	7190	5379
572	7204	5369
573	7218	5357
574	7232	5346
575	7247	5334
576	7259	5321
577	7272	5309
578	7285	5297
579	7297	5284
580	7309	5271
581	7321	5258
582	7334	5245
583	7346	5233
584	7358	5220
585	7370	5207
586	7383	5194
587	7396	5182
588	7409	5170
589	7422	5157
590	7435	5145
591	7446	5132
592	7459	5119
593	7472	5107
594	7484	5094
595	7498	5083
596	7510	5070
597	7521	5056
598	7533	5043
599	7545	5030
600	7557	5017
601	7570	5005
602	7584	4993
603	7598	4981
604	7609	4968
605	7623	4956
606	7635	4943
607	7651	4932
608	7664	4921
609	7677	4908
610	7690	4896
611	7703	4883
612	7714	4870
613	7728	4858
614	7741	4846
615	7755	4834
616	7767	4821
617	7780	4809
618	7792	4796
619	7805	4784
620	7819	4772
621	7831	4759
622	7842	4745
623	7854	4732
624	7865	4719
625	7878	4706
626	7890	4693
627	7902	4680
628	7915	4668
629	7926	4655
630	7938	4642
631	7951	4629
632	7963	4616
633	7976	4604
634	7989	4592
635	8003	4580
636	8014	4567
637	8026	4554
638	8039	4542
639	8051	4528
640	8063	4516
641	8075	4503
642	8088	4490
643	8102	4478
644	8115	4466
645	8128	4454
646	8141	4441
647	8154	4429
648	8167	4417
649	8180	4404
650	8192	4392
651	8206	4380
652	8220	4368
653	8233	4355
654	8248	4344
655	8263	4333
656	8276	4321
657	8290	4309
658	8303	4296
659	8315	4283
660	8329	4271
661	8341	4258
662	8353	4246
663	8365	4232
664	8377	4220
665	8390	4207
666	8402	4195
667	8416	4183
668	8429	4170
669	8442	4158
670	8454	4145
671	8467	4132
672	8480	4120
673	8491	4107
674	8504	4094
675	8517	4082
676	8529	4069
677	8541	4056
678	8553	4043
679	8564	4030
680	8576	4017
681	8589	4005
682	8601	3992
683	8614	3979
684	8626	3966
685	8638	3953
686	8649	3940
687	8663	3928
688	8674	3915
689	8688	3903
690	8701	3890
691	8713	3878
692	8725	3865
693	8737	3852
694	8749	3839
695	8763	3827
696	8776	3815
697	8788	3802
698	8801	3789
699	8813	3777
700	8825	3764
701	8838	3752
702	8849	3738
703	8861	3725
704	8873	3713
705	8885	3700
706	8897	3687
707	8910	3674
708	8921	3661
709	8934	3649
710	8946	3636
711	8958	3623
712	8971	3611
713	8984	3598
714	8998	3586
715	9011	3574
716	9023	3561
717	9035	3548
718	9047	3536
719	9060	3523
720	9072	3510
721	9084	3497
722	9096	3484
723	9107	3472
724	9119	3458
725	9132	3446
726	9144	3433
727	9158	3421
728	9170	3408
729	9181	3396
730	9194	3383
731	9206	3370
732	9218	3357
733	9230	3344
734	9242	3332
735	9256	3320
736	9267	3307
737	9279	3294
738	9291	3281
739	9302	3268
740	9314	3255
741	9327	3243
742	9339	3230
743	9351	3217
744	9363	3205
745	9374	3191
746	9386	3179
747	9398	3166
748	9410	3153
749	9421	3140
750	9434	3128
751	9447	3115
752	9460	3103
753	9473	3090
754	9486	3078
755	9500	3066
756	9511	3053
757	9524	3040
758	9536	3028
759	9549	3015
760	9563	3003
761	9576	2990
762	9588	2978
763	9602	2966
764	9614	2953
765	9629	2941
766	9643	2929
767	9657	2917
768	9669	2904
769	9682	2892
770	9694	2879
771	9705	2866
772	9716	2853
773	9728	2840
774	9741	2828
775	9756	2816
776	9768	2803
777	9780	2790
778	9794	2778
779	9807	2766
780	9819	2753
781	9832	2741
782	9845	2728
783	9856	2715
784	9868	2702
785	9882	2690
786	9896	2678
787	9909	2665
788	9923	2653
789	9935	2641
790	9948	2628
791	9960	2615
792	9971	2602
793	9983	2590
794	9995	2577
795	10008	2565
796	10021	2552
797	10033	2539
798	10046	2527
799	10059	2514
800	10072	2502
801	10084	2489
802	10096	2477
803	10108	2464
804	10120	2451
805	10132	2438
806	10144	2426
807	10157	2413
808	10170	2401
809	10182	2388
810	10195	2376
811	10209	2363
812	10223	2351
813	10236	2338
814	10250	2326
815	10263	2314
816	10276	2301
817	10288	2289
818	10300	2276
819	10313	2263
820	10325	2251
821	10338	2238
822	10350	2226
823	10363	2213
824	10375	2200
825	10386	2187
826	10399	2175
827	10411	2162
828	10423	2150
829	10435	2137
830	10448	2124
831	10461	2112
832	10475	2100
833	10487	2087
834	10501	2075
835	10514	2062
836	10526	2049
837	10539	2037
838	10551	2024
839	10564	2012
840	10575	1999
841	10588	1986
842	10600	1974
843	10611	1961
844	10624	1948
845	10637	1936
846	10649	1923
847	10662	1911
848	10675	1898
849	10687	1886
850	10700	1873
851	10712	1860
852	10725	1848
853	10737	1835
854	10750	1823
855	10763	1810
856	10775	1798
857	10788	1785
858	10802	1773
859	10814	1760
860	10825	1747
861	10838	1735
862	10850	1722
863	10861	1709
864	10874	1697
865	10886	1684
866	10899	1671
867	10911	1659
868	10924	1646
869	10936	1634
870	10948	1621
871	10958	1608
872	10971	1596
873	10984	1583
874	10995	1570
875	11009	1558
876	11022	1545
877	11034	1533
878	11047	1520
879	11059	1508
880	11072	1495
881	11084	1482
882	11096	1470
883	11108	1457
884	11121	1445
885	11134	1432
886	11146	1420
887	11158	1407
888	11172	1394
889	11185	1382
890	11198	1370
891	11211	1357
892	11224	1344
893	11236	1332
894	11248	1319
895	11260	1307
896	11273	1294
897	11286	1281
898	11299	1269
899	11311	1256
900	11323	1244
901	11336	1231
902	11348	1219
903	11357	1206
904	11369	1193
905	11382	1180
906	11394	1168
907	11406	1155
908	11418	1143
909	11430	1130
910	11443	1117
911	11456	1105
912	11469	1092
913	11482	1080
914	11493	1067
915	11506	1055
916	11518	1042
917	11530	1029
918	11541	1017
919	11554	1004
920	11566	992
921	11579	979
922	11592	967
923	11605	954
924	11618	942
925	11630	929
926	11642	916
927	11655	904
928	11668	891
929	11682	879
930	11695	866
931	11708	854
932	11721	841
933	11733	829
934	11746	816
935	11760	804
936	11773	791
937	11785	779
938	11799	766
939	11812	754
940	11825	741
941	11838	728
942	11850	716
943	11862	703
944	11876	691
945	11888	678
946	11900	666
947	11912	653
948	11924	640
949	11938	628
950	11950	615
951	11961	603
952	11973	590
953	11985	577
