iter	RMSE
399	2058881.66
400	2058544.021
401	2058285.037
402	2057901.227
403	2057705.501
404	2057487.726
405	2057206.094
406	2056978.199
407	2056770.57
408	2056526.289
409	2056113.501
410	2055825.872
411	2055557.548
412	2055158.711
413	2054827.685
414	2054790.59
415	2054579.761
416	2054215.402
417	2053941.857
418	2053745.594
419	2053528.587
420	2053243.632
421	2052874.607
422	2052547.544
423	2052238.986
424	2051983.648
425	2051629.067
426	2051314.07
427	2051141.579
428	2050917.302
429	2050733.491
430	2050517.249
431	2050294.49
432	2050165.45
433	2049844.955
434	2049582.454
435	2049339.793
436	2049153.108
437	2048800.945
438	2048368.507
439	2048080.44
440	2047740.961
441	2047392.143
442	2047256.346
443	2047158.011
444	2046861.468
445	2046636.03
446	2046429.937
447	2046218.306
448	2045983.546
449	2045577.973
450	2045375.007
451	2045052.669
452	2044905.07
453	2044596.508
454	2044343.422
455	2044084.852
456	2043801.803
457	2043422.71
458	2043128.475
459	2043038.778
460	2042686.523
461	2042483.464
462	2042292.946
463	2042044.697
464	2041713.135
465	2041535.341
466	2041375.832
467	2041158.969
468	2040916.921
469	2040686.601
470	2040549.649
471	2040372.118
472	2040074.181
473	2039805.63
474	2039565.186
475	2039308.622
476	2039017.078
477	2038893.971
478	2038448.823
479	2038172.391
480	2037895.886
481	2037767.046
482	2037569.529
483	2037295.525
484	2036952.396
485	2036618.098
486	2036468.777
487	2036189.156
488	2035933.246
489	2035652.725
490	2035296.018
491	2035082.001
492	2034931.747
493	2034754.142
494	2034633.048
495	2034367.694
496	2034210.577
497	2034069.388
498	2033848.658
499	2033696.221
500	2033391.854
501	2033107.943
502	2032830.056
503	2032584.415
504	2032412.255
505	2031947.829
506	2031692.943
507	2031513.591
508	2031153.993
509	2030848.889
510	2030589.815
511	2030363.777
512	2030027.919
513	2029711.649
514	2029631.261
515	2029409.864
516	2029330.775
517	2029127.086
518	2028919.338
519	2028616.861
520	2028431.81
521	2028307.568
522	2028022.481
523	2027911.226
524	2027563.687
525	2027263.119
526	2027035.209
527	2026769.209
528	2026621.967
529	2026386.669
530	2026238.327
531	2025969.702
532	2025646.423
533	2025539.959
534	2025322.417
535	2025142.987
536	2024825.632
537	2024757.973
538	2024548.041
539	2024411.125
540	2024138.831
541	2023789.502
542	2023523.136
543	2023259.811
544	2023064.504
545	2022846.184
546	2022529.113
547	2022146.32
548	2021869.88
549	2021627.774
550	2021431.48
551	2021296.683
552	2020925.527
553	2020694.29
554	2020478.865
555	2020217.923
556	2019968.993
557	2019653.069
558	2019397.326
559	2019223.379
560	2018973.481
561	2018732.779
562	2018468.671
563	2018157.625
564	2017855.355
565	2017522.831
566	2017304.003
567	2017054.145
568	2016831.254
569	2016658.653
570	2016353.017
571	2016192.952
572	2015867.464
573	2015584.775
574	2015121.948
575	2014816.777
576	2014632.263
577	2014354.634
578	2014133.209
579	2013914.358
580	2013693.985
581	2013394.13
582	2013133.919
583	2012984.181
584	2012770.622
585	2012485.69
586	2012325.749
587	2012079.303
588	2011874.238
589	2011503.521
590	2011215.311
591	2011071.703
592	2010900.781
593	2010665.053
594	2010402.429
595	2010155.926
596	2009911.285
597	2009722.01
598	2009567.698
599	2009375.056
600	2009079.602
601	2008886.986
602	2008591.947
603	2008197.46
604	2008040.778
605	2007732.478
606	2007546.775
607	2007245.212
608	2007018.064
609	2006746.012
610	2006428.627
611	2006251.914
612	2006012.567
613	2005802.072
614	2005591.162
615	2005385.141
616	2005121.777
617	2004891.623
618	2004663.202
619	2004332.774
620	2004055.469
621	2003940.425
622	2003849.729
623	2003660.976
624	2003543.878
625	2003355.466
626	2003222.18
627	2003079.237
628	2002771.738
629	2002572.546
630	2002338.621
631	2002145.58
632	2001999.113
633	2001739.628
634	2001467.498
635	2001288.292
636	2001219.153
637	2001051.879
638	2000684.944
639	2000533.688
640	2000288.793
641	2000140.298
642	1999984.167
643	1999664.965
644	1999418.616
645	1999190.986
646	1998971.462
647	1998695.027
