iter	Passed	Remaining
401	14976	22278
402	15008	22233
403	15041	22189
404	15074	22146
405	15107	22102
406	15141	22061
407	15188	22037
408	15221	21994
409	15252	21948
410	15288	21910
411	15322	21868
412	15356	21826
413	15392	21788
414	15424	21743
415	15458	21700
416	15494	21662
417	15533	21627
418	15563	21581
419	15592	21533
420	15626	21491
421	15671	21464
422	15749	21483
423	15809	21476
424	15889	21497
425	15950	21492
426	16009	21483
427	16053	21454
428	16102	21432
429	16161	21422
430	16225	21421
431	16286	21413
432	16327	21380
433	16367	21345
434	16398	21299
435	16428	21251
436	16468	21217
437	16502	21174
438	16534	21129
439	16566	21085
440	16600	21042
441	16631	20996
442	16655	20941
443	16683	20891
444	16712	20843
445	16738	20791
446	16766	20743
447	16810	20712
448	16845	20672
449	16881	20632
450	16929	20607
451	16975	20580
452	17003	20531
453	17024	20473
454	17060	20435
455	17095	20394
456	17127	20350
457	17160	20308
458	17193	20265
459	17293	20301
460	17323	20254
461	17389	20250
462	17459	20250
463	17517	20235
464	17550	20192
465	17586	20152
466	17616	20105
467	17646	20059
468	17684	20022
469	17715	19977
470	17749	19935
471	17780	19890
472	17813	19846
473	17843	19801
474	17879	19761
475	17912	19719
476	17945	19675
477	18001	19658
478	18036	19618
479	18068	19574
480	18103	19533
481	18131	19486
482	18163	19442
483	18195	19398
484	18228	19356
485	18258	19310
486	18289	19266
487	18327	19228
488	18361	19187
489	18394	19145
490	18425	19100
491	18468	19068
492	18511	19037
493	18539	18990
494	18564	18939
495	18593	18892
496	18621	18846
497	18642	18792
498	18666	18741
499	18696	18696
500	18721	18646
501	18750	18601
502	18777	18553
503	18802	18504
504	18834	18461
505	18861	18414
506	18892	18371
507	18918	18322
508	18945	18275
509	18974	18230
510	19011	18193
511	19044	18151
512	19073	18106
513	19095	18055
514	19126	18012
515	19161	17972
516	19190	17928
517	19247	17909
518	19279	17867
519	19305	17820
520	19332	17774
521	19358	17726
522	19383	17678
523	19410	17632
524	19439	17588
525	19465	17541
526	19507	17508
527	19538	17466
528	19573	17427
529	19605	17385
530	19639	17346
531	19675	17308
532	19707	17267
533	19741	17227
534	19768	17182
535	19799	17139
536	19832	17099
537	19863	17057
538	19897	17018
539	19928	16976
540	19962	16936
541	20010	16908
542	20043	16869
543	20080	16831
544	20114	16792
545	20151	16756
546	20184	16715
547	20223	16680
548	20258	16642
549	20292	16602
550	20328	16565
551	20372	16534
552	20403	16492
553	20435	16451
554	20473	16415
555	20504	16374
556	20529	16327
557	20561	16287
558	20611	16260
559	20653	16228
560	20690	16191
561	20724	16152
562	20753	16108
563	20783	16066
564	20816	16026
565	20855	15991
566	20895	15957
567	20922	15912
568	20952	15870
569	20983	15829
570	21014	15788
571	21044	15746
572	21078	15707
573	21114	15670
574	21159	15639
575	21229	15627
576	21278	15599
577	21346	15585
578	21429	15581
579	21491	15562
580	21529	15526
581	21588	15505
582	21658	15491
583	21717	15469
584	21768	15442
585	21830	15423
586	21874	15390
587	21931	15366
588	21972	15331
589	22032	15310
590	22078	15279
591	22145	15262
592	22188	15229
593	22241	15202
594	22306	15183
595	22357	15154
596	22414	15130
597	22453	15094
598	22496	15059
599	22550	15033
600	22630	15024
601	22700	15008
602	22776	14995
603	22847	14979
604	22906	14955
605	22981	14941
606	23036	14914
607	23099	14893
608	23175	14879
609	23248	14864
610	23312	14841
611	23388	14827
612	23461	14811
613	23535	14795
614	23604	14776
615	23671	14756
616	23738	14735
617	23823	14726
618	23895	14707
619	23970	14691
620	24032	14667
621	24109	14651
622	24200	14644
623	24277	14628
624	24353	14612
625	24410	14583
626	24455	14548
627	24510	14518
628	24558	14485
629	24617	14457
630	24660	14420
631	24711	14388
632	24772	14362
633	24830	14334
634	24896	14310
635	24949	14279
636	25020	14258
637	25083	14232
638	25143	14204
639	25201	14175
640	25251	14142
641	25299	14107
642	25352	14076
643	25413	14048
644	25473	14020
645	25545	13998
646	25617	13976
647	25696	13958
648	25750	13926
649	25807	13896
650	25878	13873
651	25943	13847
652	26006	13819
653	26079	13797
654	26153	13775
655	26240	13760
656	26319	13740
657	26395	13719
658	26463	13693
659	26540	13672
660	26616	13650
661	26689	13626
662	26762	13603
663	26824	13573
664	26896	13549
665	26962	13521
